Time,Unnamed: 1,Open,High,Low,Close,Volume
2004.01.14,00:00,1.2766,1.2791,1.2628,1.2647,11525
2004.01.15,00:00,1.2647,1.2674,1.256,1.2591,11399
2004.01.16,00:00,1.2591,1.2611,1.2351,1.2395,11209
2004.01.19,00:00,1.2383,1.2427,1.2333,1.236,10434
2004.01.20,00:00,1.2356,1.2601,1.2345,1.2599,11229
2004.01.21,00:00,1.2601,1.2675,1.2548,1.2639,11481
2004.01.22,00:00,1.2643,1.2752,1.2633,1.273,11019
2004.01.23,00:00,1.2731,1.2779,1.2562,1.2586,10695
2004.01.26,00:00,1.258,1.2617,1.2456,1.247,11484
2004.01.27,00:00,1.2469,1.2665,1.2437,1.2643,11587
2004.01.28,00:00,1.2643,1.2648,1.241,1.243,12685
2004.01.29,00:00,1.2422,1.2532,1.2362,1.2407,12004
2004.01.30,00:00,1.2408,1.2495,1.235,1.2467,11739
2004.02.02,00:00,1.2482,1.2491,1.2391,1.2441,10120
2004.02.03,00:00,1.2442,1.2601,1.2416,1.2546,11691
2004.02.04,00:00,1.2548,1.2565,1.249,1.2538,12068
2004.02.05,00:00,1.2538,1.264,1.252,1.2557,11878
2004.02.06,00:00,1.2556,1.2727,1.2512,1.2705,11651
2004.02.09,00:00,1.2619,1.2764,1.2606,1.2695,12373
2004.02.10,00:00,1.27,1.2791,1.2667,1.2684,12972
2004.02.11,00:00,1.2685,1.2849,1.2647,1.2844,12610
2004.02.12,00:00,1.2844,1.2848,1.2786,1.2817,12305
2004.02.13,00:00,1.2819,1.2894,1.2715,1.2733,11488
2004.02.16,00:00,1.2728,1.2793,1.2718,1.2765,9671
2004.02.17,00:00,1.2771,1.2878,1.2755,1.2854,9847
2004.02.18,00:00,1.2855,1.293,1.266,1.2708,10880
2004.02.19,00:00,1.27,1.2747,1.2647,1.2736,10434
2004.02.20,00:00,1.2739,1.2769,1.2493,1.2541,10715
2004.02.23,00:00,1.2517,1.2596,1.245,1.2577,10179
2004.02.24,00:00,1.2576,1.2716,1.2522,1.2686,10226
2004.02.25,00:00,1.2683,1.2709,1.2476,1.2493,10251
2004.02.26,00:00,1.2489,1.2517,1.2382,1.2439,10369
2004.02.27,00:00,1.244,1.251,1.2371,1.2495,10054
2004.03.01,00:00,1.2482,1.2544,1.2426,1.2461,9794
2004.03.02,00:00,1.2463,1.2463,1.2195,1.2213,9829
2004.03.03,00:00,1.2214,1.222,1.2056,1.2193,11255
2004.03.04,00:00,1.2194,1.2243,1.2134,1.2191,10644
2004.03.05,00:00,1.2186,1.2433,1.2174,1.2361,10278
2004.03.08,00:00,1.2366,1.2418,1.2337,1.2398,9464
2004.03.09,00:00,1.2399,1.2463,1.2274,1.2311,10427
2004.03.10,00:00,1.2311,1.2342,1.2198,1.2223,10713
2004.03.11,00:00,1.2225,1.2389,1.2162,1.2345,11411
2004.03.12,00:00,1.2345,1.2361,1.2173,1.2221,10438
2004.03.15,00:00,1.221,1.2319,1.22,1.2264,10254
2004.03.16,00:00,1.2265,1.2375,1.223,1.2272,10462
2004.03.17,00:00,1.2269,1.2292,1.2177,1.2232,10064
2004.03.18,00:00,1.223,1.2438,1.2221,1.2388,11174
2004.03.19,00:00,1.239,1.241,1.2256,1.2283,10084
2004.03.22,00:00,1.2274,1.2403,1.2222,1.2346,9749
2004.03.23,00:00,1.2345,1.2372,1.2264,1.2351,9713
2004.03.24,00:00,1.2353,1.237,1.2109,1.2122,10374
2004.03.25,00:00,1.2121,1.2203,1.2096,1.2119,10832
